Word    :   Frequency
ਸੋਚੈ : 1
ਸੋਰੁ : 1
ਸੋਹਹਿ : 1
ਸੋਹੈ : 1
ਸੰਗਿ : 1
ਸੰਤੋਖੀ : 1
ਸੰਸਾਰੀ : 1
ਸੰਸਾਰੁ : 1
ਹਉ : 1
ਹਉਮੈ : 1
ਹਤਿਆ : 1
ਹਥਿ : 1
ਹਥੀਆਰੁ : 1
ਹਥੁ : 1
ਹਰਾਮਖੋਰ : 1
ਹਾਥ : 1
ਹਾਦਰਾ : 1
ਹੀ : 1
ਹੁਕਮ : 1
ਹੋਆ : 1
ਹੋਈਐ : 1
ਹੋਏ : 1
ਹੋਰ : 1
ਹੋਵਨੀ : 1
ਹੋਵਹਿ : 1
੧੪॥ : 1
੧੮॥ : 1
੨੨॥ : 1
ੴ : 1
ਅਗੈ : 2
ਅਗੰਮ : 2
ਅਠਸਠਿ : 2
ਅਨੇਕ : 2
ਅਨੰਦੁ : 2
ਆਈ : 2
ਆਕਾਰ : 2
ਆਕਾਰੁ : 2
ਆਕਾਸ : 2
ਆਖਾ : 2
ਆਖੈ : 2
ਆਵਹਿ : 2
ਉਠਿ : 2
ਉਤਮੁ : 2
ਉਪਰਿ : 2
ਉਪਾਈ : 2
ਊਚੇ : 2
ਏਕਾ : 2
ਏਕੁ : 2
ਏਹਿ : 2
ਓੜਕ : 2
ਕਥਨਾ : 2
ਕਥਿ : 2
ਕਥੀ : 2
ਕਰਣਾ : 2
ਕਰਣੈ : 2
ਕਰਤਾ : 2
ਕਰਮ : 2
ਕਹਨਿ : 2
ਕਹਿ : 2
ਕਾਲੁ : 2
ਕਿਆ : 2
ਕੀਟਾ : 2
ਕੂੜੈ : 2
ਕੇਇ : 2
ਕੇਈ : 2
ਕੇਤਿਆ : 2
ਕੇਤੀ : 2
ਕੇਹਾ : 2
ਕੋਈ : 2
ਕੋਟਿ : 2
ਖਾਇ : 2
ਖਾਣੀ : 2
ਖਾਹੀ : 2
ਖੇਹ : 2
ਗਇਆ : 2
ਗਲਾ : 2
ਗਾਵੀਐ : 2
ਗਾਹ : 2
